SPATIAL,RAC_WHITE,RAC_BLACK,RAC_INDIAN,RAC_ASIAN,RAC_PACIFIC,RAC_OTHER,RAC_HISPANIC,EDU_ELEMENTAR,EDU_HIGH,EDU_COLLEGE,EDU_BACHELOR,INC_A,INC_B,INC_C,INC_D,INC_E,INC_F,INC_G,INC_H,INC_I,INC_J
1097,0.5785088259218761,0.3520158535908335,0.006068198440226797,0.01943802785964455,0.00011827435305135763,0.017403226234699764,0.026447593599667866,0.05805726335043951,0.41623583659366903,0.24940615314262488,0.2763007469132666,0.102,0.06899999999999999,0.12899999999999998,0.11100000000000002,0.13399999999999998,0.184,0.11,0.10400000000000001,0.032,0.025
1099,0.5466666666666666,0.42416382252559726,0.011422070534698521,0.0022753128555176336,0.0,0.009283276450511945,0.006188850967007963,0.0903797017053895,0.5523798205478638,0.1774318141303702,0.17980866361637649,0.26499999999999996,0.07200000000000002,0.131,0.089,0.14099999999999996,0.139,0.07400000000000001,0.06,0.021,0.008
1101,0.3594233746130031,0.5668932943990993,0.0012841260906276387,0.022349071207430342,0.00014952153110047846,0.016785990712074303,0.03311462144666479,0.0663962229556289,0.34684978914558123,0.2476336175284195,0.33912037037037035,0.09900000000000002,0.071,0.12,0.10900000000000001,0.142,0.16899999999999998,0.11,0.10800000000000003,0.038,0.034
1103,0.7661912927104679,0.12053029986198821,0.005252812513069299,0.0067082096106394545,4.182175567730333e-05,0.023160888294090586,0.07811467525406716,0.07953184540010887,0.4072291780076211,0.2456722917800762,0.2675666848121938,0.087,0.060000000000000005,0.12300000000000003,0.127,0.131,0.19399999999999998,0.11999999999999997,0.10400000000000004,0.034,0.020999999999999998
1105,0.2962662337662338,0.6858766233766234,0.00040584415584415587,0.0018262987012987013,0.0,0.006087662337662338,0.009537337662337662,0.08656364588789943,0.5157150340492405,0.249476165531692,0.14824515453116816,0.19399999999999995,0.111,0.19699999999999998,0.158,0.10200000000000001,0.11899999999999998,0.043,0.04700000000000001,0.017,0.011000000000000001
1107,0.5485480490968965,0.41772278215746933,0.001197485280910089,0.0005987426404550444,0.0004490569803412833,0.007234806905498453,0.024249076938429297,0.08033066195494415,0.5004101722723544,0.24932163816495237,0.1699375276077491,0.17000000000000004,0.10800000000000001,0.14200000000000002,0.11800000000000002,0.126,0.145,0.09099999999999998,0.068,0.015,0.018000000000000002
1109,0.5656158908555459,0.37416233434504315,0.006460918953030622,0.02115575322294678,6.010157165609881e-05,0.01060792739730144,0.021937073654476065,0.047955502104630184,0.39642212868310284,0.3217453397474444,0.2338770294648226,0.167,0.07300000000000001,0.163,0.11800000000000002,0.153,0.12899999999999998,0.08199999999999999,0.07,0.032,0.013000000000000003
1111,0.7543665708600487,0.19186380720760557,0.0032721644925934115,0.002255140393544108,0.0019456113199204069,0.01706831748839266,0.0292283882378952,0.11782751960004545,0.46858311555505056,0.20332916714009772,0.21026019770480628,0.12300000000000004,0.104,0.112,0.12000000000000001,0.16,0.21700000000000003,0.07400000000000001,0.07099999999999998,0.007,0.012
1113,0.4871580598949451,0.42020260590763353,0.0036837437751551945,0.006787638993110035,0.0021829592741660414,0.029265297769288493,0.05071969438570162,0.08261037866885261,0.41514675410433316,0.26996379534121184,0.23227907188560237,0.11200000000000002,0.07400000000000002,0.13400000000000004,0.14200000000000002,0.14200000000000002,0.174,0.107,0.081,0.023999999999999997,0.009000000000000001
1115,0.8630336351875808,0.09354786545924967,0.002772130844575864,0.007981426723341341,0.0,0.010014322676030309,0.022650619109221955,0.05983342087491558,0.4778569820664816,0.2348615592406393,0.22744803781796352,0.06999999999999999,0.053,0.09799999999999999,0.109,0.126,0.217,0.152,0.121,0.037,0.018000000000000002
1117,0.7889595097863084,0.11563430136294556,0.0019422095546999044,0.01984938164903302,0.00032532010041223396,0.015697908725861978,0.05759136882073891,0.03801257877796979,0.2696021431462363,0.24578726575398788,0.446598012321806,0.038,0.032999999999999995,0.079,0.08199999999999999,0.11000000000000001,0.176,0.163,0.178,0.078,0.06300000000000001
1119,0.24576590139254798,0.7165976665412119,0.00308618742943169,0.02822732404968009,0.0,0.003387278885961611,0.0029356417011667294,0.07095197819753783,0.46668546189267923,0.2620994267456066,0.2002631331641763,0.266,0.127,0.186,0.074,0.10700000000000001,0.10499999999999997,0.07800000000000001,0.045,0.006999999999999998,0.004
1121,0.6351949862442479,0.3205028560149031,0.002566095463686048,0.005206212911901501,0.0003577729252254586,0.014557656957449696,0.021614419482586328,0.08503045298819947,0.47400393351097575,0.24757327750285496,0.1933923359979698,0.10800000000000001,0.082,0.156,0.126,0.156,0.16399999999999995,0.09400000000000001,0.082,0.021,0.011
1123,0.6907319693344401,0.2702524537330924,0.0033693051418526294,0.00507837296743005,0.0,0.006445627227891987,0.02412227159529274,0.07894655016945991,0.48698734492086687,0.21342619943409719,0.22063990547557602,0.11099999999999999,0.08299999999999999,0.146,0.109,0.14,0.189,0.106,0.07600000000000001,0.026000000000000002,0.013000000000000001
1125,0.6297889574309408,0.3096147102548019,0.0013137683915227366,0.014979923050708497,0.0001432303885494713,0.011236177032760248,0.0329232334507164,0.043024535427556715,0.3579146137108271,0.29958982567591225,0.2994710251857039,0.095,0.063,0.11599999999999999,0.102,0.14300000000000002,0.17199999999999996,0.126,0.115,0.039,0.03
1127,0.8956443522936899,0.056576159041361124,0.0005488390529477231,0.004604149833061455,0.0,0.020017379903343343,0.02260911987559648,0.08942149408168065,0.4812847848240182,0.24964725248882966,0.1796464686054715,0.097,0.09,0.163,0.12199999999999998,0.15100000000000002,0.16699999999999998,0.098,0.079,0.015000000000000001,0.017
1129,0.6506002720444733,0.24773789106393046,0.07812407593589213,0.006505411319415696,0.0,0.004080667100360755,0.012951682535927612,0.07634059650749497,0.581749343223613,0.1879925822902179,0.15391747797867408,0.10999999999999999,0.058,0.15,0.13699999999999998,0.16,0.161,0.119,0.078,0.019,0.009
1131,0.2743052432772731,0.7194891626944869,0.0006295530173576761,0.0,0.0,0.0,0.005576041010882274,0.08355826780894261,0.5696514493604037,0.18964910221804954,0.15714118061260415,0.256,0.087,0.16399999999999995,0.096,0.136,0.129,0.056,0.051,0.017,0.008
1133,0.9427393495190105,0.004081122725190522,0.003623037521342606,0.0034981051930204473,0.0,0.01690750843293216,0.029150876608503726,0.10514942286406999,0.47651926421757235,0.22115638011911665,0.19717493279924103,0.1,0.09799999999999999,0.19,0.127,0.142,0.18799999999999997,0.071,0.06300000000000001,0.013,0.009
2013,0.14913610184904516,0.06608063049408912,0.3331312518945135,0.29463473779933314,0.010912397696271597,0.04577144589269476,0.10033343437405275,0.09301521438450899,0.5089903181189488,0.22579529737206086,0.17219917012448133,0.033999999999999996,0.046000000000000006,0.10300000000000001,0.072,0.10199999999999997,0.21800000000000003,0.156,0.156,0.071,0.042
2016,0.26041302065103256,0.05442772138606931,0.12618130906545327,0.36034301715085754,0.024676233811690585,0.035701785089254465,0.1382569128456423,0.055024916943521594,0.48214285714285715,0.2601744186046512,0.2026578073089701,0.024999999999999998,0.028999999999999998,0.040999999999999995,0.062,0.107,0.159,0.192,0.205,0.099,0.08199999999999999
2020,0.5984478202331276,0.053126910574266425,0.06714530554154235,0.08803258040698782,0.022320518774158846,0.0837595758399845,0.08716728862993241,0.04262740555951532,0.28954027084818246,0.29124198146828223,0.37659034212402,0.028,0.027000000000000003,0.059,0.062000000000000006,0.11099999999999999,0.174,0.145,0.206,0.099,0.088
2050,0.10422141459323456,0.007548224769359799,0.812971764048085,0.009001956947162427,0.0023483365949119373,0.043835616438356165,0.020072686608890132,0.14086349760139555,0.5344962930658526,0.19441779328390754,0.1302224160488443,0.066,0.056999999999999995,0.12300000000000003,0.094,0.133,0.193,0.127,0.116,0.063,0.027
2060,0.5307855626326964,0.0031847133757961785,0.3174097664543524,0.01167728237791932,0.0021231422505307855,0.08598726114649681,0.04883227176220807,0.04847645429362881,0.3988919667590028,0.31301939058171746,0.23961218836565096,0.036000000000000004,0.033,0.061000000000000006,0.067,0.08300000000000002,0.161,0.15,0.258,0.1,0.05
2068,0.8527058823529412,0.00988235294117647,0.031058823529411764,0.03388235294117647,0.0,0.06447058823529411,0.008,0.026376146788990827,0.27408256880733944,0.2551605504587156,0.44438073394495414,0.054,0.017,0.052000000000000005,0.040999999999999995,0.12199999999999998,0.143,0.165,0.259,0.08900000000000001,0.058
2070,0.1682730923694779,0.0024096385542168677,0.7128514056224899,0.021686746987951807,0.00020080321285140563,0.06506024096385542,0.029518072289156625,0.1009417304296645,0.4364331959976457,0.26397881106533255,0.19864626250735726,0.059,0.047,0.132,0.081,0.13,0.198,0.119,0.138,0.063,0.032
