SPATIAL,INC_TOTAL,INC_A,INC_B,INC_C,INC_D,INC_E,INC_F,INC_G,INC_H,INC_I,INC_J
06058,689,24.804000000000002,19.980999999999998,51.675,64.766,73.723,108.862,93.015,117.13000000000001,71.656,62.01
06059,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06060,703,0.0,0.0,0.0,23.199,45.695,54.834,85.76599999999999,196.84000000000003,134.976,160.987
06061,80,0.0,46.0,0.0,0.0,17.04,0.0,17.04,0.0,0.0,0.0
06062,7455,417.47999999999996,223.65,611.31,633.6750000000001,1073.5200000000002,1371.72,1118.25,1304.625,402.57000000000005,283.29
06063,1214,36.42,0.0,54.629999999999995,72.84,87.40800000000002,210.02200000000002,89.83600000000001,375.126,199.09599999999998,88.622
06065,320,22.080000000000002,7.040000000000001,18.880000000000003,38.080000000000005,14.080000000000002,34.88,56.0,79.03999999999999,24.0,25.92
06066,13157,539.4369999999999,486.8090000000001,1223.601,1302.5430000000001,1894.6080000000002,2381.4170000000004,1723.567,2289.3179999999998,776.263,552.594
06067,8271,190.233,231.58799999999997,397.008,653.409,711.3059999999999,1604.5739999999998,1282.0049999999999,1497.0510000000002,794.016,909.8100000000001
06068,728,0.0,10.191999999999998,99.73599999999999,29.847999999999995,72.8,195.83199999999997,56.056,131.04,74.256,58.24
06069,1110,44.4,8.88,125.43,88.8,97.68,162.06,108.78,234.21000000000004,56.61,183.15
06070,5581,100.45800000000001,61.391000000000005,262.307,184.173,351.603,764.5969999999999,725.53,1227.82,703.206,1205.496
06071,3431,109.792,37.74100000000001,260.756,150.96400000000003,219.584,572.977,466.61600000000004,816.5780000000001,339.66900000000004,456.32300000000004
06073,2140,42.800000000000004,17.12,17.12,42.800000000000004,154.08,141.24,243.96,370.22,342.40000000000003,766.12
06074,9739,311.648,136.34599999999998,642.774,409.038,769.381,1324.5040000000001,1275.809,2220.492,1246.592,1412.155
06076,4903,250.053,210.82899999999998,431.46400000000006,284.37399999999997,622.681,921.764,755.062,823.7040000000001,333.404,274.568
06078,3720,22.32,66.96000000000001,312.48,323.64,245.52,457.56000000000006,531.96,680.76,502.20000000000005,580.32
06081,643,37.294,9.001999999999999,19.29,111.88199999999999,93.235,64.3,90.02000000000001,147.24699999999999,45.010000000000005,27.006
06082,16268,569.3800000000001,292.824,1122.4920000000002,1431.584,2017.232,3090.92,2733.0240000000003,3383.744,1089.9560000000001,520.576
06084,5202,109.242,10.404,197.676,249.696,317.322,681.462,749.0880000000001,1373.328,712.6739999999999,795.906
06085,2868,129.06,117.58799999999998,174.948,160.60799999999998,160.60799999999998,401.52000000000004,367.104,702.66,312.612,338.42400000000004
06088,1987,25.831000000000003,85.44099999999999,160.947,234.466,262.284,371.569,292.089,409.32200000000006,101.33699999999999,41.727000000000004
06089,1277,19.154999999999998,25.54,98.329,38.309999999999995,77.89699999999999,205.597,178.78000000000003,229.85999999999999,113.653,289.87899999999996
06090,412,0.0,28.016000000000002,0.0,0.0,42.848000000000006,13.184000000000001,77.868,67.156,79.928,103.0
06091,45,0.0,0.0,3.015,10.98,5.985,1.9800000000000002,0.0,9.99,9.99,3.015
06092,1496,23.936,25.432000000000002,61.33599999999999,19.448,58.344,184.008,127.16000000000001,300.696,248.336,444.31199999999995
