SPATIAL,RAC_TOTAL,RAC_WHITE,RAC_BLACK,RAC_INDIAN,RAC_ASIAN,RAC_PACIFIC,RAC_OTHER,RAC_HISPANIC
01440,20334,17876,371,59,169,0,445,1414
01450,11182,10285,43,6,525,0,155,168
01451,4629,4187,108,8,153,0,82,91
01452,4537,4281,125,0,18,0,29,84
01453,41336,30989,1572,30,966,0,981,6798
01460,9538,8533,56,0,591,0,293,65
01462,11087,9844,249,0,243,0,203,548
01463,12031,11159,137,0,206,0,252,277
01464,7433,5030,614,3,276,0,478,1032
01467,560,523,0,0,13,0,24,0
01468,3704,3636,0,16,26,0,0,26
01469,7430,7035,8,18,23,0,170,176
01473,7480,7099,63,0,25,0,94,199
01474,1939,1890,0,0,43,0,6,0
01475,10613,10073,87,10,29,0,105,309
01501,16239,14791,219,14,340,0,113,762
01503,3061,2950,22,0,17,0,34,38
01504,9068,8492,69,22,65,0,209,211
01505,4480,4044,51,0,194,0,96,95
01506,3386,3079,30,14,35,0,228,0
01507,13292,12837,85,6,55,0,97,212
01510,13759,10846,149,15,156,0,443,2150
01515,2259,2207,0,7,5,0,8,32
01516,8689,7727,33,0,46,0,221,662
01518,3009,2856,1,0,63,0,8,81
01519,6548,5724,363,0,177,0,160,124
01520,14880,13524,178,6,363,0,318,491
01521,2374,2263,31,0,0,0,21,59
01522,3380,3027,44,29,29,0,0,251
01523,7811,6772,405,22,8,10,97,497
01524,6649,6356,22,0,32,0,38,201
01525,128,128,0,0,0,0,0,0
01527,13431,12373,71,9,321,0,332,325
01529,3218,3004,1,0,32,0,119,62
01531,1106,1082,6,0,4,0,0,14
01532,14846,12404,297,32,1481,0,283,349
01534,6406,5952,33,7,180,6,0,228
01535,4761,4617,51,0,27,0,18,48
01536,7557,5983,252,0,342,9,301,670
01537,2671,2155,1,0,46,0,106,363
01540,10921,9880,79,0,123,0,194,645
01541,3451,3136,27,0,40,0,41,207
01542,2366,2282,15,25,0,0,23,21
01543,8402,7973,7,0,185,0,48,189
01545,36103,26647,1223,23,6059,0,881,1270
01550,16824,10430,400,34,184,0,192,5584
01560,4504,2886,220,0,792,0,272,334
01561,249,132,0,0,78,0,39,0
01562,11801,10853,93,12,283,0,64,496
01564,7954,7251,40,31,87,0,103,442
01566,6442,6098,26,19,59,0,79,161
01568,7532,6759,16,0,189,0,308,260
01569,13881,12984,320,0,230,0,168,179
01570,16838,13482,754,0,373,0,321,1908
01571,11608,10825,199,61,156,0,134,233
01581,18706,12869,275,45,4420,0,300,797
01583,7602,6019,441,0,100,0,160,882
01585,4606,4356,27,0,99,0,60,64
01588,9731,8756,255,0,193,0,159,368
01590,9184,8719,119,0,82,13,237,14
01602,23812,17849,1957,0,951,0,528,2527
01603,20505,11179,1854,77,2526,33,455,4381
01604,35866,20034,5553,152,2976,10,662,6479
01605,28696,13546,4024,0,1968,17,888,8253
01606,19258,14825,1731,0,771,0,431,1500
01607,8636,4972,1663,0,405,0,279,1317
01608,3511,874,852,41,30,0,73,1641
01609,19982,12833,1990,99,1297,0,379,3384
01610,23919,9714,2727,25,2041,0,675,8737
01611,2466,1970,143,0,60,8,17,268
01612,4889,4322,69,0,23,0,55,420
01701,32061,26140,1374,109,2256,0,636,1546
01702,38781,21377,2379,78,3460,0,2551,8936
01718,526,300,104,0,29,0,41,52
01719,5287,3978,38,0,1078,0,103,90
01720,22638,16106,298,0,5387,43,342,462
01721,17420,14099,480,0,1535,0,376,930
01730,14018,10520,551,13,2020,0,211,703
01731,1957,1441,30,0,131,0,118,237
01740,5113,4630,19,0,240,0,78,146
01741,5125,4342,0,9,495,0,188,91
01742,19448,16179,636,5,1114,0,437,1077
01745,482,445,0,0,28,0,9,0
01746,14324,12935,125,0,452,0,204,608
01747,5942,5586,20,0,51,0,39,246
01748,16257,14379,183,0,1082,0,324,289
01749,19680,17276,299,11,513,0,582,999
01752,39545,27644,1183,39,1871,0,1906,6902
01754,10526,9539,335,0,267,0,113,272
01756,5963,5656,28,0,72,0,138,69
01757,28600,23226,726,21,790,0,1291,2546
01760,35133,28520,680,28,3922,0,570,1413
01770,4255,3819,9,0,202,0,116,109
01772,9486,7954,144,0,1059,0,125,204
01773,4793,3793,162,0,476,0,131,231
01775,7027,6474,1,0,228,0,155,169
01776,18594,15954,102,18,1605,0,617,298
01778,13697,11210,89,0,1657,40,263,438
01801,39775,32442,2123,0,2504,0,1199,1507
01803,25698,19623,1218,0,3809,29,488,531
01810,34963,27639,776,39,4427,0,876,1206
01821,31780,28311,478,0,1905,0,403,683
01824,25803,22131,203,85,2347,0,166,871
01826,30855,26046,1087,18,1334,56,724,1590
01827,3310,3068,0,0,138,0,84,20
01830,25882,19743,524,24,319,0,740,4532
01832,23305,16268,435,43,367,0,396,5796
01833,8514,7935,47,0,74,4,194,260
01834,6681,6330,47,0,70,0,0,234
