SPATIAL,EDU_TOTAL,EDU_ELEMENTAR,EDU_HIGH,EDU_COLLEGE,EDU_BACHELOR
01515,1788,63,697,385,643
01516,6496,216,2116,1536,2628
01518,2277,42,525,411,1299
01519,5119,102,1078,890,3049
01520,11417,147,2781,1996,6493
01521,1982,57,699,513,713
01522,2462,33,597,493,1339
01523,6291,441,2030,1522,2298
01524,5603,243,2092,1388,1880
01525,106,20,29,18,39
01527,10484,227,4011,1939,4307
01529,2394,114,876,587,817
01531,854,7,290,185,372
01532,11343,304,2362,1995,6682
01534,4956,123,1839,894,2100
01535,3796,83,1676,921,1116
01536,5888,194,1483,1173,3038
01537,1819,28,718,404,669
01540,8363,175,3345,1855,2988
01541,2641,25,534,347,1735
01542,1927,151,659,489,628
01543,6264,39,2004,1183,3038
01545,27047,908,5862,3944,16333
01550,13059,1034,5914,3078,3033
01560,3166,14,921,563,1668
01561,223,0,16,35,172
01562,9610,465,4454,1892,2799
01564,5974,124,1520,1058,3272
01566,4845,194,1040,863,2748
01568,5544,110,1390,938,3106
01569,10703,377,3829,2143,4354
01570,13413,928,6058,2522,3905
01571,9115,283,3349,2343,3140
01581,13857,287,2592,1654,9324
01583,6622,446,2544,1132,2500
01585,3769,75,1790,572,1332
01588,7285,209,2583,1653,2840
01590,6861,190,2079,1264,3328
01602,19750,540,5275,4643,9292
01603,16080,1356,7324,3270,4130
01604,27920,1733,11188,5259,9740
01605,21469,1622,8769,4689,6389
01606,15614,569,4758,3332,6955
01607,6716,390,2884,1301,2141
01608,2582,478,1061,420,623
01609,17474,1065,5388,4868,6153
01610,19192,2046,9085,5178,2883
01611,1933,64,674,569,626
01612,3924,85,687,1179,1973
01701,25866,902,5391,3588,15985
01702,30636,2545,10890,5855,11346
01718,397,18,14,82,283
01719,4061,51,430,460,3120
01720,16865,408,1462,1774,13221
01721,13439,397,3004,1860,8178
01730,10519,209,1276,1437,7597
01731,1067,9,118,325,615
01740,3709,132,627,382,2568
01741,3818,41,311,276,3190
01742,14914,503,2552,1330,10529
01745,269,0,91,67,111
01746,10558,262,1774,1728,6794
01747,4443,234,1285,769,2155
01748,11591,281,1512,1669,8129
01749,15652,1075,4510,2820,7247
01752,31087,2237,10007,5278,13565
01754,8309,165,2171,1406,4567
01756,4387,94,1039,845,2409
01757,21869,1029,6964,4602,9274
01760,26560,471,4240,3328,18521
01770,3018,101,288,257,2372
01772,6940,236,1024,887,4793
01773,3740,71,169,302,3198
01775,5136,43,751,661,3681
01776,13097,260,1350,1368,10119
01778,10097,132,958,778,8229
01801,32072,1147,10599,5701,14625
01803,20344,1060,5060,3424,10800
01810,26111,775,3318,3438,18580
01821,25211,830,9038,5181,10162
01824,20473,382,4873,3476,11742
01826,23876,910,9550,4877,8539
01827,2497,42,565,387,1503
01830,20326,1529,7502,4353,6942
01832,18008,1062,6700,4212,6034
01833,6403,173,1593,1253,3384
01834,5276,137,1460,1218,2461
01835,10222,180,3147,2521,4374
01840,3934,988,1497,786,663
01841,35119,7890,16659,6519,4051
01843,18828,3145,7779,4230,3674
01844,37688,2518,13125,8198,13847
01845,22794,616,4591,3958,13629
01850,11690,985,6051,2407,2247
01851,22910,3247,9290,4125,6248
01852,26920,3232,10089,5182,8417
01854,23388,1826,9781,6318,5463
01860,5316,153,1326,1108,2729
01862,8875,444,3535,1756,3140
01863,7111,190,2069,1139,3713
01864,12023,300,3043,2012,6668
01867,18747,429,3557,2667,12094
01876,23914,695,8313,5310,9596
01879,9490,301,2720,1772,4697
01880,21038,759,5655,3084,11540
01886,17157,506,2384,2458,11809
01887,17956,685,6043,3288,7940
01890,15986,263,2048,1501,12174
01901,1276,256,453,310,257
01902,34570,5694,13583,7611,7682
01904,13466,627,4939,3116,4784
01905,19134,3029,7887,4216,4002
01906,22671,1252,9295,4634,7490
01907,11053,334,2182,2128,6409
01908,2954,52,701,604,1597
01913,13552,307,3935,2913,6397
01915,33597,845,8933,7122,16697
01921,6200,57,1006,932,4205
01922,2357,53,239,497,1568
01923,21825,465,6254,4076,11030
01929,2854,62,697,474,1621
01930,24543,1127,8253,4510,10653
01937,139,29,62,33,15
01938,10872,203,2567,1833,6269
01940,10253,278,2386,1728,5861
01944,4147,48,864,633,2602
01945,15470,306,1880,2378,10906
01949,7679,459,2560,1406,3254
01950,14317,170,2475,2037,9635
01951,3235,17,547,572,2099
01952,7478,359,2568,1859,2692
01960,42529,2289,16191,8391,15658
01966,5933,101,1611,979,3242
01969,4684,50,1449,890,2295
01970,35043,1928,10815,8023,14277
01982,5903,122,748,841,4192
01983,4886,95,1148,785,2858
01984,4178,62,828,1350,1938
01985,3325,39,613,554,2119
02019,13280,269,4906,3048,5057
02021,17488,450,3483,3084,10471
02025,6092,65,948,683,4396
02026,20137,762,5704,3332,10339
02030,4141,122,333,335,3351
02032,3154,86,770,486,1812
02035,13459,415,3247,2675,7122
02038,24349,444,5533,4497,13875
02043,17006,212,2764,2109,11921
02045,9018,117,2527,1773,4601
02047,33,0,0,15,18
02048,17461,321,3728,3292,10120
02050,20055,492,4873,4433,10257
02052,8698,66,1016,1182,6434
02053,9763,226,2069,1702,5766
02054,6310,126,1609,1037,3538
02056,8863,377,2284,1362,4840
02061,7865,202,1614,1016,5033
02062,23229,794,6583,3992,11860
02066,13481,294,2434,2189,8564
02067,12921,237,1459,1547,9678
02071,1353,152,432,263,506
02072,22651,1156,6814,4849,9832
02081,14771,775,3487,2297,8212
02090,11248,240,1748,1138,8122
02093,8550,153,2246,1450,4701
02108,3622,15,260,551,2796
02109,3713,113,370,448,2782
02110,2012,0,72,199,1741
02111,6790,830,1597,1156,3207
02113,7188,168,685,569,5766
02114,12063,254,1063,1168,9578
02115,27418,829,4837,12516,9236
02116,21109,964,2483,3261,14401
02118,23470,2222,5199,3294,12755
02119,21004,2661,7822,5118,5403
02120,13336,857,2857,5282,4340
02121,20471,2984,9180,4609,3698
02122,19287,2401,7790,3886,5210
02124,40379,3842,15924,8949,11664
02125,28982,3367,9666,5633,10316
02126,22918,2296,9714,5309,5599
02127,31470,1523,7020,3253,19674
02128,36456,8638,14343,4756,8719
02129,14758,730,3020,1584,9424
02130,33143,1423,5973,4421,21326
02131,25441,1770,7403,4288,11980
02132,22447,702,5352,3312,13081
02134,16521,437,2685,3931,9468
02135,36433,1712,5557,6017,23147
02136,24057,1723,8658,5897,7779
02138,33295,305,4103,8453,20434
02139,32161,972,4371,5393,21425
02140,16454,580,2708,1865,11301
02141,11534,715,2134,1408,7277
02142,2569,0,174,375,2020
02143,23900,1098,4308,2006,16488
02144,22232,477,3735,1926,16094
02145,21657,1761,7114,3537,9245
02148,49433,4420,16627,9600,18786
02149,34042,3519,15652,7246,7625
02150,28443,6252,12290,4243,5658
02151,43109,4767,18949,8917,10476
02152,14541,276,4739,3211,6315
02155,50730,1854,14007,10179,24690
02163,2451,0,111,379,1961
02169,46476,2370,14603,7459,22044
02170,16609,1165,5112,2938,7394
02171,15086,881,4183,2366,7656
02176,21941,491,4838,3766,12846
02180,18005,451,5117,3465,8972
02184,28646,824,8969,5299,13554
02186,20629,374,4125,3827,12303
02188,12605,345,3768,2615,5877
02189,12000,539,4448,2606,4407
02190,13340,357,4319,2590,6074
02191,6842,153,2446,1384,2859
02199,1218,15,60,73,1070
02203,0,0,0,0,0
02210,2353,0,142,269,1942
02215,24142,233,4371,10893,8645
02301,44579,5171,19097,10535,9776
02302,25756,1882,11338,6063,6473
02322,3719,168,1600,610,1341
02324,22375,691,8006,5757,7921
02330,9294,411,3831,2061,2991
02332,11350,144,1557,1779,7870
02333,11105,335,3969,2948,3853
02338,6065,111,2257,1336,2361
02339,10422,275,2763,1711,5673
02341,8242,122,2905,1920,3295
02343,8852,133,3256,2041,3422
02346,19033,393,6999,4351,7290
02347,8772,247,3058,1858,3609
02351,13029,349,4405,3128,5147
02356,9652,190,2105,2210,5147
02357,1226,0,391,782,53
02359,13885,346,4675,3020,5844
02360,46651,1219,15249,10284,19899
02364,10100,325,3155,1874,4746
02366,192,32,101,47,12
02367,2383,12,879,488,1004
02368,27418,2330,9628,5885,9575
02370,14030,346,5660,3287,4737
02375,7605,184,2064,1564,3793
02379,5539,150,2061,1176,2152
02382,11366,313,4466,2406,4181
02420,10752,224,1245,853,8430
02421,13596,342,1405,1040,10809
02445,16627,342,1723,2247,12315
02446,25389,428,1798,3386,19777
02451,15312,480,3852,2134,8846
02452,13596,407,3487,4089,5613
02453,25037,1542,6342,5573,11580
02457,1597,0,595,906,96
02458,9776,337,1266,1045,7128
02459,14792,165,1280,2149,11198
02460,7487,211,877,880,5519
02461,5499,82,452,414,4551
02462,1167,29,118,101,919
02464,2589,38,519,326,1706
02465,8904,305,1455,790,6354
02466,6751,181,1208,1302,4060
02467,18419,289,2896,5849,9385
02468,4164,66,336,248,3514
02472,28208,846,5580,3675,18107
02474,21918,554,3382,2212,15770
02476,13026,339,1884,1551,9252
02478,19218,433,2212,2139,14434
02481,11461,211,1160,1946,8144
02482,8192,155,834,1042,6161
02492,14673,384,1536,1739,11014
02493,8440,93,834,1065,6448
02494,7308,133,1194,647,5334
02532,10130,215,3537,2420,3958
02534,881,62,445,112,262
02535,1444,57,264,330,793
02536,15919,324,5895,3074,6626
02537,4788,73,954,965,2796
02538,2566,75,1302,632,557
02539,3662,74,1568,805,1215
02540,7350,152,1625,1355,4218
02542,472,6,93,229,144
02543,765,17,77,149,522
02553,115,0,70,0,45
02554,8326,120,2546,1823,3837
02556,2320,113,481,348,1378
02557,3565,156,839,922,1648
02558,1049,88,262,345,354
02559,3608,91,812,973,1732
02561,406,15,69,76,246
02562,2727,21,873,683,1150
02563,7756,233,2062,1681,3780
02564,225,29,25,71,100
02568,3339,81,1044,675,1539
02571,8442,233,3213,2145,2851
02575,1960,15,471,506,968
02576,4099,199,1846,1052,1002
02584,10,0,0,0,10
02601,11985,792,5769,2501,2923
02630,1854,65,163,504,1122
02631,8127,25,1987,1632,4483
02632,8497,129,2299,2140,3929
02633,3267,72,641,513,2041
02635,2901,46,531,463,1861
02637,103,0,12,18,73
02638,3076,39,749,555,1733
02639,2145,3,790,476,876
02641,228,11,20,51,146
02642,4388,98,1106,768,2416
02643,9,0,0,9,0
02644,3549,0,1214,1187,1148
02645,7847,273,2031,1896,3647
02646,1669,22,346,304,997
02647,150,0,9,0,141
02648,5309,114,1561,1176,2458
02649,11883,280,3539,2656,5408
02650,1100,11,343,138,608
02651,26,0,0,0,26
02652,650,9,147,114,380
02653,5187,74,1034,935,3144
02655,3034,109,655,518,1752
02657,2771,76,667,472,1556
02659,721,0,117,195,409
02660,5867,122,1988,1504,2253
02663,108,0,22,22,64
02664,7600,74,2666,1922,2938
